ID,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length,Acousticness..,Speechiness.,Popularity
2,China,Anuel AA,reggaeton flow,105,81,79,-4,8,61,302,8,9,92
24,Soltera - Remix,Lunay,latin,92,78,80,-4,44,80,266,36,4,91
21,Piece Of Your Heart,MEDUZA,pop house,124,74,68,-7,7,63,153,4,3,91
5,Goodbyes (Feat. Young Thug),Post Malone,dfw rap,150,65,58,-4,11,18,175,45,7,94
7,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92
11,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93
20,Truth Hurts,Lizzo,escape room,158,62,72,-3,12,41,173,11,11,91
22,Panini,Lil Nas X,country rap,154,59,70,-6,12,48,115,34,8,91
15,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,101,50,83,-4,12,10,205,10,5,92
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,90,48,76,-6,7,91,158,56,5,91
